('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/JoinMerger.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('jackrabbit-core-1.4.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/data/db/TempFileInputStream.java', 'JCR-1602', '39fd2a4c871b75bc016f3749de5e6b8139aec6f7')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/NodeImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/operation/AbstractCopy.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/version/VersionHistoryImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/ItemManagerImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/ChildPropertyEntriesImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/version/VersionManagerImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/operation/Move.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/ChildNodeEntriesImpl.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/xml/SessionImporter.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/ItemManager.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
('jackrabbit-core-1.4.6', 'jackrabbit-jcr2spi/src/main/java/org/apache/jackrabbit/jcr2spi/hierarchy/NodeEntry.java', 'JCR-1843', 'd7397c2371dff88cbb8603e15e7e5588cdd14d40')
